Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
NORWAY,2021-09-20,75600,ST. OLAVS HOSPITAL HF,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-20, the DPA of NORWAY fined ST. OLAVS HOSPITAL HF €75600 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
NORWAY,2021-09-20,40200,Høylandet Municipality,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-20, the DPA of NORWAY fined Høylandet Municipality €40200 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
DENMARK,2021-09-29,107000,Danish Cancer Society,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-29, the DPA of DENMARK fined Danish Cancer Society €107000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-09-29,10000,ACONCAGUA JUEGOS S.A.,37,Insufficient involvement of data protection officer,"On 2021-09-29, the DPA of SPAIN fined ACONCAGUA JUEGOS S.A. €10000 for Insufficient involvement of data protection officer (Violating GDPR Article 37)."
SPAIN,2021-09-29,5000,"CYNGASA, S.L.",6,Insufficient legal basis for data processing,"On 2021-09-29, the DPA of SPAIN fined CYNGASA, S.L. €5000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-09-28,3000,Bar owner,5,Non-compliance with general data processing principles,"On 2021-09-28, the DPA of SPAIN fined Bar owner €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-09-14,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2021-09-14, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-09-14,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2021-09-14, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
NORWAY,2021-09-27,496000,Ferde AS,"5,44",Non-compliance with general data processing principles,"On 2021-09-27, the DPA of NORWAY fined Ferde AS €496000 for Non-compliance with general data processing principles (Violating GDPR Article 5,44)."
SPAIN,2021-09-14,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2021-09-14, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-09-14,56000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2021-09-14, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-09-24,3000,Unknown,13,Insufficient fulfilment of information obligations,"On 2021-09-24, the DPA of SPAIN fined Unknown €3000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
ISLE OF MAN,2020-12-11,3250,Cosmetic Medical Limited,31,Insufficient cooperation with supervisory authority,"On 2020-12-11, the DPA of ISLE OF MAN fined Cosmetic Medical Limited €3250 for Insufficient cooperation with supervisory authority (Violating GDPR Article 31)."
GERMANY,2021-09-24,900000,Vattenfall Europe Sales GmbH,"12,13",Insufficient data processing agreement,"On 2021-09-24, the DPA of GERMANY fined Vattenfall Europe Sales GmbH €900000 for Insufficient data processing agreement (Violating GDPR Article 12,13)."
SPAIN,2021-09-14,40000,"Vodafone España, S.A.U.",6,Insufficient legal basis for data processing,"On 2021-09-14, the DPA of SPAIN fined Vodafone España, S.A.U. €40000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-09-20,18000,"CEDICO, CENTRO DE DIAGNÓSTICO POR LA IMÁGEN, S.L.",5,Non-compliance with general data processing principles,"On 2021-09-20, the DPA of SPAIN fined CEDICO, CENTRO DE DIAGNÓSTICO POR LA IMÁGEN, S.L. €18000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GREECE,2021-08-26,5000,NOW DOCTOR – Εταιρία Παροχής Ηλεκτρονικών Υπηρεσιών Αναζήτησης και Προβολής Ιατρών Ε.Π.Ε.,"5,17",Non-compliance with general data processing principles,"On 2021-08-26, the DPA of GREECE fined NOW DOCTOR – Εταιρία Παροχής Ηλεκτρονικών Υπηρεσιών Αναζήτησης και Προβολής Ιατρών Ε.Π.Ε. €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5,17)."
GREECE,2021-09-03,8000,Rhodes Municipal Transport Company,"5,15",Insufficient fulfilment of data subjects rights,"On 2021-09-03, the DPA of GREECE fined Rhodes Municipal Transport Company €8000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5,15)."
GREECE,2021-08-26,20000,National Bank of Greece,12,Insufficient fulfilment of data subjects rights,"On 2021-08-26, the DPA of GREECE fined National Bank of Greece €20000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12)."
GREECE,2021-08-26,20000,Dixons South East Europe ΑΕΒΕ-ΚΩΤΣΟΒΟΛΟΣ,12,Insufficient fulfilment of data subjects rights,"On 2021-08-26, the DPA of GREECE fined Dixons South East Europe ΑΕΒΕ-ΚΩΤΣΟΒΟΛΟΣ €20000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12)."
DENMARK,2021-09-17,67200,Syddanmark Region,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-17, the DPA of DENMARK fined Syddanmark Region €67200 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-09-16,4000,Frigorifica Botana S.L.,5,Non-compliance with general data processing principles,"On 2021-09-16, the DPA of SPAIN fined Frigorifica Botana S.L. €4000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
FRANCE,2021-09-15,3000,Société nouvelle de l’annuaire français,"16,17,30,31",Insufficient fulfilment of data subjects rights,"On 2021-09-15, the DPA of FRANCE fined Société nouvelle de l’annuaire français €3000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 16,17,30,31)."
DENMARK,2021-09-16,10000,Favrskov municipality,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-16, the DPA of DENMARK fined Favrskov municipality €10000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-09-13,9000,Website operator,"6,13",Insufficient legal basis for data processing,"On 2021-09-13, the DPA of SPAIN fined Website operator €9000 for Insufficient legal basis for data processing (Violating GDPR Article 6,13)."
SPAIN,2021-09-13,1000,Hairdressing salon,13,Insufficient fulfilment of information obligations,"On 2021-09-13, the DPA of SPAIN fined Hairdressing salon €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-09-13,1000,GESTIONES AUTO LOW COST S. L.,13,Insufficient fulfilment of information obligations,"On 2021-09-13, the DPA of SPAIN fined GESTIONES AUTO LOW COST S. L. €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
CYPRUS,2021-09-06,25000,Hellenic Technical Enterprises Ltd.,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-06, the DPA of CYPRUS fined Hellenic Technical Enterprises Ltd. €25000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
CYPRUS,2021-09-06,40000,AC Omonia,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-06, the DPA of CYPRUS fined AC Omonia €40000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
CYPRUS,2021-09-06,40000,APOEL FC,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-06, the DPA of CYPRUS fined APOEL FC €40000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ITALY,2021-07-22,400000,Atac s.p.a.,"5,6,30,32",Non-compliance with general data processing principles,"On 2021-07-22, the DPA of ITALY fined Atac s.p.a. €400000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,30,32)."
ITALY,2021-07-22,30000,Flowbird Italia s.r.l.,"5,6,30",Non-compliance with general data processing principles,"On 2021-07-22, the DPA of ITALY fined Flowbird Italia s.r.l. €30000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,30)."
ITALY,2021-07-22,800000,Roma Capitale,"5,12,13,25,28,32",Non-compliance with general data processing principles,"On 2021-07-22, the DPA of ITALY fined Roma Capitale €800000 for Non-compliance with general data processing principles (Violating GDPR Article 5,12,13,25,28,32)."
ITALY,2021-07-22,200000,Regione Lombardia,5,Non-compliance with general data processing principles,"On 2021-07-22, the DPA of ITALY fined Regione Lombardia €200000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
IRELAND,2021-09-07,1400,Vodafone Ireland Limited,21,Insufficient fulfilment of data subjects rights,"On 2021-09-07, the DPA of IRELAND fined Vodafone Ireland Limited €1400 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 21)."
DENMARK,2021-09-08,53800,Midtjylland Region,32,Insufficient technical and organisational measures to ensure information security,"On 2021-09-08, the DPA of DENMARK fined Midtjylland Region €53800 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-09-02,4000,"Automecanica Jerez, S.L.","5,32,21",Insufficient technical and organisational measures to ensure information security,"On 2021-09-02, the DPA of SPAIN fined Automecanica Jerez, S.L. €4000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32,21)."
SPAIN,2021-08-23,1800,Agency,32,Insufficient technical and organisational measures to ensure information security,"On 2021-08-23, the DPA of SPAIN fined Agency €1800 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-08-30,6000,Furnishyourspace S.L.,5,Insufficient fulfilment of information obligations,"On 2021-08-30, the DPA of SPAIN fined Furnishyourspace S.L. €6000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5)."
IRELAND,2021-09-02,225000000,WhatsApp Ireland Ltd.,"5,12,13,14",Insufficient fulfilment of information obligations,"On 2021-09-02, the DPA of IRELAND fined WhatsApp Ireland Ltd. €225000000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,12,13,14)."
SPAIN,2021-08-25,120000,"Banco Bilbao Vizcaya Argentaria, S.A.",32,Insufficient technical and organisational measures to ensure information security,"On 2021-08-25, the DPA of SPAIN fined Banco Bilbao Vizcaya Argentaria, S.A. €120000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-08-26,1000,Owners Association,5,Non-compliance with general data processing principles,"On 2021-08-26, the DPA of SPAIN fined Owners Association €1000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
POLAND,2021-08-13,2200,President of the Zgierz District Court,5,Insufficient technical and organisational measures to ensure information security,"On 2021-08-13, the DPA of POLAND fined President of the Zgierz District Court €2200 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
ROMANIA,2021-08-24,3000,Actamedica SRL,"28,32,33",Insufficient technical and organisational measures to ensure information security,"On 2021-08-24, the DPA of ROMANIA fined Actamedica SRL €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 28,32,33)."
SPAIN,2021-08-23,2000,Company owner,13,Insufficient fulfilment of information obligations,"On 2021-08-23, the DPA of SPAIN fined Company owner €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-08-13,1000,Employer,13,Insufficient fulfilment of information obligations,"On 2021-08-13, the DPA of SPAIN fined Employer €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
HUNGARY,2021-06-18,28400,Magyar Telekom Nyrt.,"5,25",Insufficient fulfilment of data subjects rights,"On 2021-06-18, the DPA of HUNGARY fined Magyar Telekom Nyrt. €28400 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5,25)."
HUNGARY,2021-04-20,2800,Website operator,"5,24",Non-compliance with general data processing principles,"On 2021-04-20, the DPA of HUNGARY fined Website operator €2800 for Non-compliance with general data processing principles (Violating GDPR Article 5,24)."
SPAIN,2021-08-03,96000,"Vodafone España, S.A.U.","6,17",Insufficient legal basis for data processing,"On 2021-08-03, the DPA of SPAIN fined Vodafone España, S.A.U. €96000 for Insufficient legal basis for data processing (Violating GDPR Article 6,17)."
SPAIN,2021-08-10,2000,DESPACHO TEJEDOR INFANTES CONSULTORES ASESORES,5,Non-compliance with general data processing principles,"On 2021-08-10, the DPA of SPAIN fined DESPACHO TEJEDOR INFANTES CONSULTORES ASESORES €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
NORWAY,2021-08-12,9600,Waxing Palace AS,"5,6,13",Insufficient legal basis for data processing,"On 2021-08-12, the DPA of NORWAY fined Waxing Palace AS €9600 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,13)."
ITALY,2021-06-10,40000,aiComply S.r.l.,"28,32",Insufficient technical and organisational measures to ensure information security,"On 2021-06-10, the DPA of ITALY fined aiComply S.r.l. €40000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 28,32)."
ITALY,2021-06-10,40000,Aeroporto Guglielmo Marconi di Bologna S.p.a.,"5,25,32",Insufficient technical and organisational measures to ensure information security,"On 2021-06-10, the DPA of ITALY fined Aeroporto Guglielmo Marconi di Bologna S.p.a. €40000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,25,32)."
SPAIN,2021-08-05,6000,Future Vinline S.L.,13,Insufficient fulfilment of information obligations,"On 2021-08-05, the DPA of SPAIN fined Future Vinline S.L. €6000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-08-09,5000,CLUB GIMNASIA RÍTMICA SAN ANTONIO,6,Insufficient legal basis for data processing,"On 2021-08-09, the DPA of SPAIN fined CLUB GIMNASIA RÍTMICA SAN ANTONIO €5000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-08-09,1000,"BAZTANDIS, S.L.",13,Insufficient fulfilment of information obligations,"On 2021-08-09, the DPA of SPAIN fined BAZTANDIS, S.L. €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-07-30,4000,Gas inspector,6,Insufficient legal basis for data processing,"On 2021-07-30, the DPA of SPAIN fined Gas inspector €4000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-30,2000,Private Individual,6,Insufficient legal basis for data processing,"On 2021-07-30, the DPA of SPAIN fined Private Individual €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-30,600,Private Individual,5,Non-compliance with general data processing principles,"On 2021-07-30, the DPA of SPAIN fined Private Individual €600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-07-27,4000,Private Individual,5,Non-compliance with general data processing principles,"On 2021-07-27, the DPA of SPAIN fined Private Individual €4000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-07-27,3000,"INSTAPACK, S.L.",5,Insufficient legal basis for data processing,"On 2021-07-27, the DPA of SPAIN fined INSTAPACK, S.L. €3000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
SPAIN,2021-07-27,3000,"UST GLOBAL ESPAÑA, S.A.",5,Non-compliance with general data processing principles,"On 2021-07-27, the DPA of SPAIN fined UST GLOBAL ESPAÑA, S.A. €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-08-05,3000,Private Individual,5,Non-compliance with general data processing principles,"On 2021-08-05, the DPA of SPAIN fined Private Individual €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-07-27,1000,"APARTAMENTOS PLAYA DE COVACHOS, S.L.",13,Insufficient fulfilment of information obligations,"On 2021-07-27, the DPA of SPAIN fined APARTAMENTOS PLAYA DE COVACHOS, S.L. €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-07-27,2000,Vasco Andaluza de Inversiones S.L.,6,Insufficient legal basis for data processing,"On 2021-07-27, the DPA of SPAIN fined Vasco Andaluza de Inversiones S.L. €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-27,2000,Gerco Fit S.L.,6,Insufficient legal basis for data processing,"On 2021-07-27, the DPA of SPAIN fined Gerco Fit S.L. €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-27,2000,Body Tonic Shop S.L.,6,Insufficient legal basis for data processing,"On 2021-07-27, the DPA of SPAIN fined Body Tonic Shop S.L. €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
AUSTRIA,2021-08-02,2000000,Unser Ö-Bonus Club GmbH,"6,7,12",Insufficient legal basis for data processing,"On 2021-08-02, the DPA of AUSTRIA fined Unser Ö-Bonus Club GmbH €2000000 for Insufficient legal basis for data processing (Violating GDPR Article 6,7,12)."
GERMANY,,65000,Company,32,Insufficient technical and organisational measures to ensure information security,"On NaT, the DPA of GERMANY fined Company €65000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ITALY,2021-07-22,2500000,Deliveroo Italy s.r.l.,5,Non-compliance with general data processing principles,"On 2021-07-22, the DPA of ITALY fined Deliveroo Italy s.r.l. €2500000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-08-02,3000,Club Náutico el Estacio,32,Insufficient technical and organisational measures to ensure information security,"On 2021-08-02, the DPA of SPAIN fined Club Náutico el Estacio €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2021-07-27,60000,PRA Iberia S.L.,"6,15",Insufficient legal basis for data processing,"On 2021-07-27, the DPA of SPAIN fined PRA Iberia S.L. €60000 for Insufficient legal basis for data processing (Violating GDPR Article 6,15)."
ROMANIA,2021-07-30,200,Private Individual,5,Insufficient legal basis for data processing,"On 2021-07-30, the DPA of ROMANIA fined Private Individual €200 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
FINLAND,2021-07-05,25000,Higher Education Institution,"5,6,3759/2004",Non-compliance with general data processing principles,"On 2021-07-05, the DPA of FINLAND fined Higher Education Institution €25000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,3759/2004)."
SPAIN,2021-07-27,2000,Owners Association,5,Non-compliance with general data processing principles,"On 2021-07-27, the DPA of SPAIN fined Owners Association €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-07-27,900,Owners Association,5,Non-compliance with general data processing principles,"On 2021-07-27, the DPA of SPAIN fined Owners Association €900 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-07-27,2400,PODEMOS PARTIDO POLÍTICO,"5,13",Non-compliance with general data processing principles,"On 2021-07-27, the DPA of SPAIN fined PODEMOS PARTIDO POLÍTICO €2400 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2021-07-27,10000,"PERSONAL MARK, S.L.",17,Insufficient fulfilment of data subjects rights,"On 2021-07-27, the DPA of SPAIN fined PERSONAL MARK, S.L. €10000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 17)."
SPAIN,2021-07-27,1000,"NEXTSTEPAGENCY, S.L.",13,Insufficient fulfilment of information obligations,"On 2021-07-27, the DPA of SPAIN fined NEXTSTEPAGENCY, S.L. €1000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-07-27,500,Website operator,13,Insufficient fulfilment of information obligations,"On 2021-07-27, the DPA of SPAIN fined Website operator €500 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-07-29,3000,"UNIVERSIDAD A DISTANCIA DE MADRID, S.A.","17,21",Insufficient fulfilment of data subjects rights,"On 2021-07-29, the DPA of SPAIN fined UNIVERSIDAD A DISTANCIA DE MADRID, S.A. €3000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 17,21)."
LUXEMBOURG,2021-07-16,746000000,Amazon Europe Core S.à.r.l.,,Non-compliance with general data processing principles,"On 2021-07-16, the DPA of LUXEMBOURG fined Amazon Europe Core S.à.r.l. €746000000 for Non-compliance with general data processing principles (Violating GDPR Article nan)."
SPAIN,2021-07-26,2520000,Mercadona S.A.,"5,35",Insufficient legal basis for data processing,"On 2021-07-26, the DPA of SPAIN fined Mercadona S.A. €2520000 for Insufficient legal basis for data processing (Violating GDPR Article 5,35)."
FRANCE,2021-07-26,400000,Monsanto Company,"14,28",Insufficient fulfilment of information obligations,"On 2021-07-26, the DPA of FRANCE fined Monsanto Company €400000 for Insufficient fulfilment of information obligations (Violating GDPR Article 14,28)."
SPAIN,2021-07-26,2000,Fincas Miguel García S.L.,13,Insufficient fulfilment of information obligations,"On 2021-07-26, the DPA of SPAIN fined Fincas Miguel García S.L. €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2021-07-26,2000,Intersumi S.C.,13,Insufficient fulfilment of information obligations,"On 2021-07-26, the DPA of SPAIN fined Intersumi S.C. €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
ITALY,2021-05-27,150000,Azienda Provinciale per i Servizi Sanitari di Trento,"5,9",Non-compliance with general data processing principles,"On 2021-05-27, the DPA of ITALY fined Azienda Provinciale per i Servizi Sanitari di Trento €150000 for Non-compliance with general data processing principles (Violating GDPR Article 5,9)."
ITALY,2021-05-27,120000,Azienda Usl della Romagna,"5,9",Non-compliance with general data processing principles,"On 2021-05-27, the DPA of ITALY fined Azienda Usl della Romagna €120000 for Non-compliance with general data processing principles (Violating GDPR Article 5,9)."
FRANCE,2021-07-20,1750000,SGAM AG2R LA MONDIALE,"5,13,14",Non-compliance with general data processing principles,"On 2021-07-20, the DPA of FRANCE fined SGAM AG2R LA MONDIALE €1750000 for Non-compliance with general data processing principles (Violating GDPR Article 5,13,14)."
THE NETHERLANDS,2021-04-09,750000,TikTok,12,Insufficient fulfilment of information obligations,"On 2021-04-09, the DPA of THE NETHERLANDS fined TikTok €750000 for Insufficient fulfilment of information obligations (Violating GDPR Article 12)."
POLAND,2021-06-30,3000,Fundację Promocji Mediacji i Edukacji Prawnej Lex Nostra,33,Insufficient fulfilment of data breach notification obligations,"On 2021-06-30, the DPA of POLAND fined Fundację Promocji Mediacji i Edukacji Prawnej Lex Nostra €3000 for Insufficient fulfilment of data breach notification obligations (Violating GDPR Article 33)."
SPAIN,2021-07-12,45000,"Telefónica Móviles España, S.A.U.",6,Insufficient legal basis for data processing,"On 2021-07-12, the DPA of SPAIN fined Telefónica Móviles España, S.A.U. €45000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
GREECE,2021-07-08,5000,Pediatrician,12,Insufficient fulfilment of data subjects rights,"On 2021-07-08, the DPA of GREECE fined Pediatrician €5000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12)."
SPAIN,2021-07-01,6000,Private Individual,6,Insufficient legal basis for data processing,"On 2021-07-01, the DPA of SPAIN fined Private Individual €6000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-01,1000,Unknown,6,Insufficient legal basis for data processing,"On 2021-07-01, the DPA of SPAIN fined Unknown €1000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-07,2000,Homeowners Association,5,Non-compliance with general data processing principles,"On 2021-07-07, the DPA of SPAIN fined Homeowners Association €2000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2021-07-02,1500,Private Individual,6,Insufficient legal basis for data processing,"On 2021-07-02, the DPA of SPAIN fined Private Individual €1500 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-06,4200,Marbella Resorts S.L.,28,Insufficient data processing agreement,"On 2021-07-06, the DPA of SPAIN fined Marbella Resorts S.L. €4200 for Insufficient data processing agreement (Violating GDPR Article 28)."
SPAIN,2021-07-09,1500,Aparcamiento Arcusa S.L.U.,"5,13",Non-compliance with general data processing principles,"On 2021-07-09, the DPA of SPAIN fined Aparcamiento Arcusa S.L.U. €1500 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
LUXEMBOURG,2021-06-29,12500,Unknown,"5,13",Non-compliance with general data processing principles,"On 2021-06-29, the DPA of LUXEMBOURG fined Unknown €12500 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
DENMARK,2021-07-16,67900,Region of Syddanmark,32,Insufficient technical and organisational measures to ensure information security,"On 2021-07-16, the DPA of DENMARK fined Region of Syddanmark €67900 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
GERMANY,,7000,Unknown,58,Insufficient cooperation with supervisory authority,"On NaT, the DPA of GERMANY fined Unknown €7000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
DENMARK,2021-07-09,80700,Medicals Nordic I/S,,Non-compliance with general data processing principles,"On 2021-07-09, the DPA of DENMARK fined Medicals Nordic I/S €80700 for Non-compliance with general data processing principles (Violating GDPR Article nan)."
CROATIA,2021-07-05,0,Insurance company,"13,14,27",Insufficient fulfilment of information obligations,"On 2021-07-05, the DPA of CROATIA fined Insurance company €0 for Insufficient fulfilment of information obligations (Violating GDPR Article 13,14,27)."
SPAIN,2021-07-08,4000,Malagatrom S.L.U.,6,Insufficient legal basis for data processing,"On 2021-07-08, the DPA of SPAIN fined Malagatrom S.L.U. €4000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2021-07-08,50000,Caixabank S.A.,6,Insufficient legal basis for data processing,"On 2021-07-08, the DPA of SPAIN fined Caixabank S.A. €50000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
LUXEMBOURG,2021-06-11,15000,Unknown,38,Lack of appointment of data protection officer,"On 2021-06-11, the DPA of LUXEMBOURG fined Unknown €15000 for Lack of appointment of data protection officer (Violating GDPR Article 38)."
UNITED KINGDOM,2021-07-05,29000,Mermaids,5,Insufficient technical and organisational measures to ensure information security,"On 2021-07-05, the DPA of UNITED KINGDOM fined Mermaids €29000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
THE NETHERLANDS,2021-05-31,450000,UWV (Dutch employee insurance service provider),32,Insufficient technical and organisational measures to ensure information security,"On 2021-05-31, the DPA of THE NETHERLANDS fined UWV (Dutch employee insurance service provider) €450000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ITALY,2021-06-10,20000,Dentist,5,Insufficient legal basis for data processing,"On 2021-06-10, the DPA of ITALY fined Dentist €20000 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
LUXEMBOURG,2021-06-11,7600,Unknown,"5,13",Non-compliance with general data processing principles,"On 2021-06-11, the DPA of LUXEMBOURG fined Unknown €7600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
LUXEMBOURG,2021-06-11,7200,Unknown,5,Non-compliance with general data processing principles,"On 2021-06-11, the DPA of LUXEMBOURG fined Unknown €7200 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2021-05-13,84000,Comune di Bolzano,"5,6,9,13,35",Non-compliance with general data processing principles,"On 2021-05-13, the DPA of ITALY fined Comune di Bolzano €84000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,9,13,35)."
DENMARK,2021-07-07,53800,Nordbornholms Byggeforretning Aps,"5,6",Insufficient legal basis for data processing,"On 2021-07-07, the DPA of DENMARK fined Nordbornholms Byggeforretning Aps €53800 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
CROATIA,2021-07-05,0,IT services company,32,Insufficient technical and organisational measures to ensure information security,"On 2021-07-05, the DPA of CROATIA fined IT services company €0 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
FINLAND,2021-06-24,8500,Magazine publisher,5,Insufficient legal basis for data processing,"On 2021-06-24, the DPA of FINLAND fined Magazine publisher €8500 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
ITALY,2021-06-10,2600000,Foodinho s.r.l.,5,Non-compliance with general data processing principles,"On 2021-06-10, the DPA of ITALY fined Foodinho s.r.l. €2600000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
